episode,alpha=0.0005,alpha=0.001,alpha=0.0001
172,84.478099,58.619395,-40.733195
173,87.34703,57.984902,-40.637835
174,90.2793,58.248034,-40.451371
175,93.845698,57.971501,-39.568521
176,97.331347,58.063564,-39.313308
177,99.037391,57.991022,-40.518693
178,102.616859,60.427013,-40.910354
179,105.178607,61.604173,-40.802998
180,107.90934,64.351594,-41.774915
181,108.146653,64.758187,-44.911556
182,108.420929,64.468307,-44.798896
183,107.246502,63.328437,-45.38583
184,107.370499,65.473408,-46.341209
185,107.938957,65.321094,-42.941231
186,109.594661,68.110581,-42.785661
187,110.213893,70.884416,-41.639803
188,110.666359,72.862155,-43.821452
189,114.478807,73.358558,-43.265801
190,115.368338,72.765819,-42.48138
191,118.76986,73.388314,-43.29272
192,121.081257,75.502906,-42.725217
193,125.418698,77.576033,-42.752006
194,126.910874,77.709707,-42.943802
195,130.318334,80.776558,-42.616907
196,131.607234,79.125245,-45.150318
197,131.839044,81.034652,-43.665612
198,133.507056,82.896621,-43.327343
199,133.563511,83.027194,-43.128619
200,136.124847,85.647873,-42.948972
201,138.731848,84.057782,-42.199745
202,137.7766,83.733108,-42.665439
203,137.470303,83.549712,-40.142909
204,140.355777,83.21797,-42.611746
205,141.234613,83.100707,-42.021926
206,141.857554,82.920056,-42.278476
207,139.255804,82.452483,-45.173105
208,141.952649,82.278417,-42.348277
209,142.878869,81.908819,-44.630496
210,141.78394,81.860506,-46.390533
211,140.469498,79.827704,-46.392735
212,138.914353,78.924312,-48.352023
213,138.877121,77.176193,-48.606822
214,141.265985,76.913654,-49.116554
215,140.151286,76.113163,-49.009307
216,138.883099,76.238612,-49.852567
217,135.900931,75.673031,-52.67465
218,135.344149,76.962551,-53.077034
219,133.206727,77.642742,-53.018884
220,133.245915,77.133469,-55.706159
221,134.943121,76.8687,-58.407037
222,133.498621,79.864464,-58.822138
223,132.121846,81.498744,-59.107088
224,132.534727,81.731884,-59.373022
225,130.77619,79.047437,-58.861083
226,131.927933,77.124006,-58.670313
227,129.531453,79.699263,-58.095661
228,127.893176,79.729404,-58.066677
229,127.83614,77.350509,-60.626559
230,127.930046,77.378304,-60.977365
231,128.249131,75.043357,-63.251455
232,128.204154,75.155476,-62.935522
233,128.681044,75.083956,-62.84228
234,127.850303,75.743422,-64.700459
235,128.025758,78.346022,-64.237794
236,128.68753,77.801955,-64.069965
237,128.831696,77.818806,-64.059717
238,128.801401,75.629502,-63.91428
239,128.796727,75.611282,-63.841707
240,129.260359,75.763519,-64.23717
241,129.384499,79.153663,-65.783429
242,129.850487,80.75913,-65.858298
243,129.800079,83.692004,-68.134867
244,129.540866,83.223591,-67.914967
245,129.552062,82.498331,-72.77266
246,129.746221,83.517179,-72.231464
247,130.035002,83.641333,-71.509669
248,130.393482,84.699016,-73.579793
249,130.817886,87.531727,-73.85329
250,131.210268,89.671298,-73.49201
251,130.037037,91.819952,-75.354344
252,130.812032,90.616186,-75.981628
253,131.143382,93.306335,-78.057508
254,131.876451,92.808266,-77.907151
255,131.789264,95.826618,-79.451852
256,131.64114,97.676993,-79.435358
257,131.312328,96.561275,-80.187702
258,131.300357,97.781036,-79.509671
259,131.70697,97.441999,-79.459859
260,132.686322,97.558421,-80.256492
261,132.882097,97.950794,-80.144349
262,133.188178,98.996318,-79.213011
263,134.389279,100.465359,-79.699902
264,132.431515,103.125847,-81.930008
