episode,alpha=0.0005,alpha=0.001,alpha=0.0001
755,118.409797,186.709005,110.395927
756,119.886253,187.199346,108.384905
757,119.792871,186.647229,109.029389
758,123.165032,185.583888,106.531844
759,123.110282,185.111226,106.780169
760,125.854382,185.302622,108.254582
761,128.957657,185.831047,110.631703
762,131.351151,186.243627,111.740699
763,131.795824,186.057982,113.593339
764,131.595802,186.428123,112.032562
765,134.091532,185.748522,114.106775
766,133.957806,185.890706,114.224464
767,136.84164,186.482827,116.302273
768,139.656676,186.330203,118.338451
769,139.97076,186.903884,119.083935
770,139.335834,186.472791,118.686907
771,139.452061,185.935158,119.066833
772,140.019487,186.060074,119.359908
773,140.186196,186.842632,121.148436
774,141.115015,186.668271,116.328959
775,144.824387,186.737733,118.008544
776,144.788061,186.597342,118.044549
777,144.550657,186.431052,118.435444
778,144.717296,188.771759,118.803014
779,145.846779,188.536106,118.756368
780,146.206707,188.396075,119.510492
781,146.753317,189.162605,119.56783
782,144.854686,189.463502,119.149701
783,142.267978,189.473834,119.810068
784,142.611948,190.533756,120.523026
785,143.132001,190.20666,118.816956
786,143.325123,189.774668,118.638018
787,144.268388,190.407964,118.034503
788,144.464258,190.102236,117.430225
789,144.656167,190.0893,118.113613
790,145.054614,190.412596,116.617893
791,147.919962,190.5545,112.468743
792,147.830111,190.804106,114.822766
793,148.512225,190.644483,115.504656
794,148.673248,191.051043,114.90451
795,148.578733,190.95654,113.526841
796,148.81203,191.032265,113.329061
797,148.904573,191.091153,112.648969
798,148.813993,191.121731,108.830103
799,148.936537,191.451106,107.984342
800,147.673635,191.704332,106.237225
801,147.567264,192.411544,105.49268
802,150.321638,192.265045,104.901676
803,150.759168,192.67819,101.588025
804,150.224084,192.787104,99.046382
805,150.788794,193.072163,94.211297
806,151.294113,193.508176,93.591061
807,151.81395,193.83334,90.882173
808,153.736974,193.995297,88.530839
809,156.338699,194.273861,88.663639
810,156.77312,194.742062,84.945524
811,156.46359,194.927738,84.756209
812,157.054126,194.851193,84.094314
813,157.467966,195.271276,84.081165
814,157.684145,196.10258,81.545372
815,157.364795,195.710333,79.303172
816,157.074401,195.625711,74.848555
817,156.943338,195.268678,72.754511
818,157.013966,195.088175,70.26088
819,157.216013,195.37056,67.858357
820,157.444137,195.538884,67.853211
821,159.247236,195.276911,65.807826
822,159.416941,195.191495,63.370473
823,159.68394,195.184892,63.131964
824,161.266392,195.186736,61.189976
825,161.772751,194.968683,60.869491
826,161.984729,195.270681,58.54145
827,161.775843,194.918326,56.134649
828,160.381495,194.165066,53.585162
829,157.418242,194.249121,53.057445
830,156.974617,193.684238,52.449567
831,159.048868,193.760799,50.101777
832,158.83877,193.548989,48.047571
833,158.686719,193.399089,45.9358
834,158.212543,193.447054,44.058718
835,157.788578,193.361046,43.103579
836,157.454274,193.283364,41.762946
837,158.089007,193.245765,41.257084
838,156.863007,193.385967,40.907208
839,157.363819,193.112838,38.716743
840,159.687597,192.252372,36.002552
841,159.055573,190.301984,34.986273
842,158.561078,190.624835,32.596088
843,157.973291,190.312256,29.543126
844,156.987721,190.055846,29.59189
845,159.940774,189.926731,32.337463
846,158.91841,189.764608,30.014048
847,159.095932,189.326595,27.424159
848,162.049657,189.255266,27.451252
849,161.693304,189.322087,26.926361
850,164.204529,189.536476,24.868653
851,164.917083,190.023895,21.893561
852,165.339652,189.70525,19.684925
853,165.940484,190.216922,19.604324
854,166.161506,190.197692,17.320949
855,169.086651,190.14081,16.531596
856,168.899484,190.424664,16.284055
857,166.995136,189.749811,16.677084
858,167.064798,190.643355,16.013699
859,166.419189,191.564269,18.285805
860,166.343571,191.935053,18.377916
861,166.257388,191.840096,16.078827
862,166.152174,191.819711,14.341704
863,167.280134,191.828007,14.37289
864,167.506026,191.657929,13.297897
865,167.405421,191.416979,13.117015
866,167.817011,191.87037,10.737404
867,168.057125,191.960366,8.627404
868,168.257479,191.526781,6.235084
869,167.918215,191.619849,3.343912
870,167.865437,191.540404,0.964872
871,167.805222,192.641986,-0.743077
872,167.984864,193.444825,-3.045824
873,168.150816,193.834341,-5.338965
874,168.952469,193.218299,-5.38274
875,168.320141,193.035341,-1.120188
876,167.282994,192.775713,-2.924844
877,167.971987,193.362444,-5.202179
878,168.31235,191.400343,-7.332797
879,168.51586,191.159253,-7.370198
880,170.889337,191.161548,-9.296629
881,171.241107,191.675854,-11.271724
882,173.646419,191.157812,-13.193177
883,175.567458,191.170435,-15.096459
884,178.684035,191.22983,-17.142498
885,178.347998,190.838227,-18.892786
886,178.354271,190.51298,-19.051002
887,178.522378,190.484158,-20.86545
888,178.571678,190.079354,-22.475098
889,178.274154,190.262979,-24.440161
890,178.389793,190.295891,-26.819365
891,178.282257,190.131072,-25.947354
892,178.194542,190.177156,-22.463944
893,178.368423,189.734763,-23.913385
894,178.279022,190.407702,-26.338988
895,178.205018,190.504261,-27.64598
896,178.824167,190.778974,-28.689435
897,178.959188,190.205296,-30.55447
898,179.359249,189.955911,-30.088755
899,179.021295,190.032105,-26.645315
900,179.587114,189.84525,-27.87098
901,181.782211,190.021539,-28.036828
902,181.996661,190.301861,-29.671892
903,182.462239,190.368925,-31.182471
904,182.596828,190.168773,-27.865113
905,182.865529,190.363247,-27.356309
906,181.949809,190.304505,-22.652452
907,181.796264,190.222888,-23.023683
908,182.03634,189.667252,-21.364077
909,182.210679,189.593455,-19.163201
910,181.598803,189.550442,-20.811158
911,181.077558,189.399976,-17.560594
912,181.37864,189.413282,-19.23612
913,181.882715,189.762154,-18.379471
914,182.015101,190.061955,-17.465666
915,181.472828,189.777923,-14.837332
916,182.035508,190.755904,-12.851296
917,182.086728,191.291231,-7.960427
918,182.011726,191.286598,-6.74781
919,182.687383,190.976228,-4.670419
920,182.992582,190.800651,-1.890387
921,183.154834,191.145179,-1.576211
922,183.017861,191.503619,-0.468782
923,182.99443,191.679991,2.399844
924,183.403697,191.549286,3.213834
925,184.123617,191.779861,4.844669
926,182.281187,191.560506,3.511771
927,182.465633,190.741384,5.146409
928,182.977347,188.308753,7.308014
929,184.055977,188.764665,7.319346
930,186.902194,185.419969,5.961019
931,187.466562,185.756711,6.221852
932,187.604059,185.468511,8.671291
933,187.918925,184.796739,10.730744
934,188.200224,185.03227,13.267829
935,188.42615,183.925599,11.332409
936,188.664343,183.959084,12.262246
937,188.975135,183.773089,11.811009
938,189.42118,183.455039,10.249681
939,192.29625,183.38684,10.301232
940,192.873841,183.127269,12.452174
941,194.063155,179.83571,15.230028
942,196.789299,180.967468,17.300687
943,199.984291,180.860494,19.621425
944,201.04671,180.977046,20.349216
945,202.326293,179.865889,22.242641
946,202.202732,179.854823,21.408317
947,204.773435,179.970676,21.345257
948,204.278554,180.313215,23.506666
949,204.787405,179.788757,21.485938
950,205.32086,180.110848,19.72461
951,205.825565,180.232292,22.034488
952,205.946316,180.465137,24.695805
953,206.575125,181.229599,26.727911
954,206.534033,181.316467,25.940971
955,206.972832,182.235038,27.759046
956,206.676894,182.409373,28.214323
957,206.934834,182.49002,28.864552
958,209.348493,182.929894,30.406071
959,209.682011,182.696968,30.774575
960,210.529674,182.928498,30.048544
961,210.52647,182.709696,30.2018
962,211.042925,183.194809,32.617783
963,211.049475,183.111168,28.017956
964,211.646215,183.069847,28.130715
965,211.793073,183.416293,30.072831
966,211.966775,183.920928,31.56619
967,212.178831,184.030091,33.551291
968,212.328093,184.047004,35.430509
969,212.161505,184.316936,37.724274
970,212.38387,184.124568,40.046812
971,213.067814,184.3039,42.206741
972,213.008142,184.005928,39.719617
973,212.858583,183.571877,42.145674
974,213.174283,183.580853,44.262345
975,212.438907,183.965474,44.464873
976,212.62319,184.056293,45.203959
977,213.62361,184.059382,47.022606
978,212.809294,184.48617,49.509056
979,212.848635,186.625127,51.496557
980,213.031776,186.371834,51.166536
981,213.024549,186.798647,52.88948
982,212.909486,185.370124,55.501317
983,213.552763,185.814724,57.545952
984,212.497971,186.033377,59.814416
985,212.610566,186.472049,61.705383
986,213.302743,186.638854,63.865571
987,213.13587,186.919203,66.088261
988,213.222595,187.130725,68.196297
989,213.57224,187.543709,70.186422
990,214.302014,187.5596,72.749378
991,214.408321,187.884947,75.022843
992,214.718909,188.365328,75.659227
993,215.058752,188.316165,76.721191
994,214.588206,188.940599,78.746868
995,214.567671,188.936913,80.850192
996,214.47513,188.57145,83.129361
997,213.954259,184.248493,85.058514
998,214.223689,184.834172,86.8912
999,214.191652,185.054698,89.059969
1000,214.522073,185.169818,87.583444
1001,214.176839,185.389087,88.61274
1002,214.196337,185.351728,91.152954
1003,214.004924,184.759013,93.950246
1004,213.550391,184.961092,96.049777
1005,213.005203,185.401084,95.780055
1006,213.172103,185.413928,95.956443
1007,214.07699,185.109118,95.535141
1008,214.266389,185.053526,96.281619
1009,213.989891,185.410967,97.031784
1010,214.515109,185.64041,97.279864
1011,214.974725,185.53832,99.331471
1012,215.439666,186.02922,99.530772
1013,215.182524,185.781729,101.48868
1014,214.755283,185.926257,101.194483
1015,214.736498,185.509188,100.900809
1016,215.838285,185.882402,100.786845
1017,215.463402,185.648829,101.004282
1018,215.444118,184.125892,100.368993
1019,216.281469,184.510353,101.035741
1020,216.381899,185.326867,101.319313
1021,216.210903,185.890076,100.972264
1022,216.266446,185.049462,100.172542
1023,216.944502,185.033317,100.857514
1024,216.57991,185.463847,100.347618
1025,216.490271,185.988368,102.480999
1026,216.356147,186.040857,102.774107
1027,217.51578,186.293946,104.829265
1028,216.982306,187.030986,105.524074
1029,216.837345,189.777499,105.564634
1030,216.861642,189.3634,108.085274
1031,216.987332,192.471547,110.20878
1032,216.585425,192.711658,110.911434
1033,216.245232,193.300444,111.129795
1034,215.969839,194.15632,111.349415
1035,216.114748,194.241315,111.506598
1036,216.276513,192.427119,115.487859
1037,216.715728,192.57589,116.192793
1038,216.806869,191.205126,118.792805
1039,216.156008,191.531528,120.665892
1040,215.733107,190.664521,119.70916
1041,215.752865,191.557731,120.268834
1042,215.399174,195.339948,120.708422
1043,214.988228,195.909144,120.043051
1044,214.931734,196.071561,120.132958
1045,214.659487,196.169845,122.51613
1046,214.621245,197.81202,122.36123
1047,214.391996,198.17614,123.172824
1048,214.881783,198.764148,125.905507
1049,215.117049,198.371093,126.020455
1050,214.463352,198.974085,127.704572
1051,213.692326,198.539847,129.88359
1052,213.326095,198.493407,129.527164
1053,213.085598,198.429595,129.578259
1054,212.329187,198.465039,129.807342
1055,213.058734,198.748788,130.724584
1056,212.939234,198.663784,130.705593
1057,213.17964,199.233611,130.698674
1058,213.988287,199.389503,128.522654
1059,214.309107,199.341407,126.688541
1060,213.914175,199.668697,124.304926
1061,213.564804,199.375354,125.088392
1062,213.799881,199.246572,125.604586
1063,214.06764,199.442346,124.581407
1064,214.603357,199.613911,128.973902
1065,214.761371,199.179427,128.678597
1066,214.548466,199.344542,128.889132
1067,214.773043,198.623034,127.478713
1068,215.042595,198.782682,125.679689
1069,214.885534,199.029066,123.450537
1070,215.122597,198.84497,121.083469
1071,215.388281,197.416828,119.147854
1072,215.368522,196.834512,116.834784
1073,215.694281,196.63133,119.723599
1074,213.057291,197.218312,116.761831
1075,212.649456,196.69955,117.648397
1076,212.877146,197.006636,115.487491
1077,212.454015,197.326108,115.314699
1078,212.177455,197.959772,113.228317
1079,212.680442,197.303144,112.394778
1080,212.943089,197.170527,110.337339
1081,212.70463,197.758247,108.326717
1082,212.552391,197.915296,105.434837
1083,212.628057,198.459157,101.745693
1084,211.90931,198.459245,99.295571
1085,212.506257,197.992507,96.24624
1086,212.143433,197.994923,96.627567
1087,211.65692,197.535163,92.48025
1088,211.444589,197.49023,88.905818
1089,211.413856,197.502531,85.305977
1090,210.816229,197.195984,85.242561
1091,210.384369,197.481617,82.246413
1092,210.592289,197.050338,82.539128
1093,209.643012,196.615672,81.394925
1094,209.206154,196.786386,78.401686
1095,209.562257,196.223459,75.697872
1096,209.726569,195.857758,71.92735
1097,209.620355,195.919592,69.335122
1098,209.96304,200.028227,67.010078
1099,209.573497,199.911683,64.589759
1100,209.122093,199.828191,62.253809
1101,208.279667,200.070684,61.011977
1102,208.552529,199.896988,59.883208
1103,208.558389,199.688168,56.578748
1104,208.440112,200.238605,51.79576
1105,208.784278,200.328174,49.282843
1106,208.90492,199.913542,45.389067
1107,208.377493,199.632511,45.427871
1108,208.036663,199.863445,41.782489
1109,207.983961,199.566789,39.393188
1110,207.995625,200.116074,37.48759
1111,207.518188,199.837908,33.912623
1112,207.736717,199.62482,30.41829
1113,207.101808,199.228881,28.219938
1114,207.014197,199.758531,25.658575
1115,207.123779,200.016664,23.189874
1116,206.927137,200.056196,20.349096
1117,206.66213,199.712052,20.785744
1118,206.903938,199.703735,17.906066
1119,207.408415,201.095439,15.408358
1120,207.066198,200.883153,12.981851
1121,206.420601,200.44697,11.415849
1122,206.067407,200.557574,9.545537
1123,206.239921,200.567405,7.792562
1124,206.162164,199.916189,8.935495
1125,207.024523,199.739073,6.167865
1126,206.501914,200.196323,4.068541
1127,206.247467,200.164817,1.650384
1128,206.48918,200.736315,-0.41264
1129,206.588816,200.983621,-3.191235
1130,206.463221,201.349608,-5.548705
1131,206.893443,202.074182,-8.222359
1132,206.661372,202.242429,-8.318908
1133,206.48668,202.362664,-11.03499
1134,206.517593,202.148028,-13.178155
1135,206.53653,202.30092,-13.464894
1136,206.647243,202.247031,-14.159414
1137,206.656743,204.759375,-16.212895
1138,206.917242,204.731253,-19.010747
1139,207.00661,206.118865,-18.526124
1140,207.099649,205.813168,-17.999549
1141,207.438921,206.834495,-16.874336
1142,207.381053,206.683888,-16.452634
1143,207.410862,206.61311,-19.080446
1144,207.502601,206.282439,-19.336329
1145,207.709537,206.774131,-19.917422
1146,207.396483,206.876149,-22.311994
1147,207.552822,207.078054,-22.096319
1148,207.414208,207.150061,-21.942547
1149,207.107071,206.954832,-24.547988
1150,206.927588,207.078331,-26.412156
1151,207.340407,206.465104,-27.8725
1152,207.852743,206.848626,-28.256105
1153,207.830338,206.877292,-29.895563
1154,207.95985,207.052573,-31.576688
1155,208.373158,207.010876,-33.784523
1156,207.656077,206.926802,-35.592924
1157,207.264266,207.037431,-37.513918
1158,207.066198,206.958997,-39.035677
1159,206.535148,206.423175,-38.835017
1160,206.181992,206.228513,-37.008852
1161,206.53448,206.049837,-35.343102
1162,206.544785,206.252789,-35.685057
1163,206.771955,206.631936,-35.733513
1164,206.787926,206.144325,-36.648076
1165,206.711849,206.020823,-33.97089
1166,206.48497,206.528797,-34.36332
1167,206.781303,206.316108,-33.858318
1168,206.86891,207.033928,-32.182066
1169,206.88124,207.112904,-30.460258
1170,206.879141,206.369917,-28.276097
1171,206.929774,204.657039,-26.173861
1172,205.514739,206.33518,-24.187586
1173,204.432254,206.706302,-22.034314
1174,204.842318,207.271984,-20.273648
1175,207.517593,207.014235,-17.64847
1176,207.470027,206.97402,-18.589699
1177,207.619991,206.521298,-18.134664
1178,207.781054,206.712249,-17.699611
1179,207.807183,206.573312,-15.539849
1180,204.427851,206.94307,-16.686996
1181,203.788931,207.048779,-16.331739
1182,203.484871,206.878438,-14.467784
1183,203.84454,206.866378,-13.171282
1184,203.574473,207.231834,-11.429554
1185,203.402719,206.88709,-11.213893
1186,204.209955,206.909901,-7.706212
1187,204.470296,206.576114,-9.728249
1188,204.307721,207.388821,-5.759038
1189,204.090238,207.900595,-1.877731
1190,204.150362,207.837192,1.260028
1191,204.333051,208.009244,1.763203
1192,204.501896,208.104743,4.470642
1193,204.347944,208.473738,3.997165
1194,205.154348,208.809306,4.873219
1195,205.754544,209.00483,7.289827
1196,206.083487,209.597554,8.203758
1197,206.561435,210.168579,12.224511
1198,207.217,208.026094,14.253825
1199,207.139947,208.287441,16.204544
1200,207.151014,208.65806,18.697424
1201,207.273132,209.193805,21.398276
1202,208.406194,208.765085,24.249391
1203,208.359237,208.993571,26.201718
1204,208.335298,209.101538,29.806292
1205,208.547123,208.795691,34.1172
1206,208.226396,208.787263,36.371203
1207,208.203272,209.085246,40.882649
1208,208.324314,208.54618,42.880369
1209,208.521875,208.907055,47.086872
1210,208.170688,209.390483,50.061685
1211,208.311073,209.167865,51.558259
1212,208.688102,209.698095,52.304364
1213,208.368543,210.014873,56.323156
1214,208.968032,210.314616,58.843655
1215,206.647891,210.198105,61.195251
1216,204.32451,209.891821,63.072998
1217,201.790942,210.19861,64.385943
1218,200.68498,210.596251,63.100501
1219,200.690264,210.316186,63.743087
1220,200.133989,209.922563,66.049205
1221,200.605102,209.929343,68.955142
1222,201.233039,210.185067,70.722872
1223,201.418004,207.033611,72.791805
1224,201.636871,206.526189,74.981337
1225,201.714791,205.036149,73.944496
1226,200.908223,205.231362,75.930047
1227,200.893388,204.593397,78.603507
1228,201.125578,200.032989,80.729018
1229,201.399806,199.512649,80.949913
1230,201.846124,198.642304,83.442429
1231,201.734869,198.121483,85.929325
1232,201.370014,198.299063,88.355546
1233,201.273953,197.822205,86.330535
1234,201.863246,197.859837,88.184336
1235,201.879221,197.834926,89.832302
1236,202.164604,197.894782,90.093358
1237,201.537008,197.091159,89.820205
1238,201.874448,197.648896,91.579075
1239,201.635289,197.354452,93.530896
1240,200.949813,197.139642,92.612894
1241,201.153691,197.250991,89.863178
1242,200.666083,197.193304,87.86125
1243,200.861595,196.687009,87.021737
1244,200.888799,194.339603,86.592349
1245,201.478798,194.579227,87.366386
1246,201.18915,194.581703,88.453001
1247,201.226754,194.352507,90.867551
1248,200.991802,194.173016,90.429724
1249,201.597613,194.389108,89.539805
1250,201.676835,194.480517,90.017663
1251,201.7191,193.905802,89.744053
1252,201.796534,194.661826,91.175536
1253,201.858771,194.899542,91.583306
1254,202.001401,195.361671,91.330951
1255,201.868063,194.970523,92.484833
1256,201.385763,194.856921,94.006929
1257,202.141241,195.047354,95.993503
1258,202.458957,195.084502,98.331677
1259,202.83302,194.588474,99.821257
1260,202.969559,194.508647,99.805103
1261,202.578384,194.679906,100.034949
1262,202.26473,194.746729,100.37067
1263,202.194599,194.598299,101.37067
1264,202.047946,194.444561,101.34507
1265,202.147674,194.637345,101.887068
1266,202.125544,194.574469,99.342314
1267,201.863025,194.641108,98.310006
1268,199.16584,195.151139,97.684969
1269,199.082879,194.971576,95.463862
1270,198.904552,194.434243,95.807208
1271,199.226219,194.655476,95.367535
1272,196.954751,196.824185,95.961618
1273,197.969506,196.971648,94.230294
1274,198.798693,196.774496,94.038783
1275,198.783168,196.673848,92.006518
1276,198.872242,196.266945,90.47215
1277,199.159534,196.619821,90.294193
1278,198.001237,194.245025,90.043276
1279,198.459695,192.107639,89.159765
1280,198.860911,192.063733,87.143807
1281,199.401042,191.499879,88.977761
1282,200.16242,189.59107,88.674272
1283,200.715595,189.97713,89.187636
1284,198.053749,189.989443,90.352206
1285,198.058204,189.8804,89.68393
1286,198.541547,189.816805,90.303425
1287,198.398939,189.954643,90.095001
1288,198.126894,187.507627,91.634497
1289,198.24154,187.206705,89.256143
1290,198.609612,187.002856,88.513722
1291,198.370595,186.998645,89.505786
1292,198.41735,186.540657,89.670893
1293,198.13378,186.583322,87.504695
1294,197.898618,184.464578,87.103746
1295,197.431323,184.370699,87.938598
1296,196.865362,184.47322,87.236605
1297,196.82671,184.400952,88.82662
1298,196.91689,184.165829,89.482934
1299,193.847636,186.850144,90.032097
1300,193.907059,184.937137,91.113074
1301,193.98329,185.142373,91.882975
1302,194.763507,184.511363,91.894995
1303,194.734135,184.760293,91.826331
1304,194.709319,184.669344,91.563993
1305,194.623664,184.377064,88.910481
1306,194.096197,182.248378,87.195873
1307,194.137921,182.254214,87.495498
1308,194.399477,182.523936,86.079893
1309,195.175914,182.912034,86.853211
1310,193.022971,183.030762,85.418713
1311,193.443515,182.798077,82.663058
1312,192.91952,182.57121,80.880585
1313,192.942642,182.581446,81.886974
1314,193.542016,182.644737,79.135598
1315,193.060418,182.339292,78.808752
1316,195.737964,182.209831,77.270629
1317,198.212378,182.176403,78.232453
1318,200.375937,181.579458,79.52245
1319,201.499402,180.933169,81.143584
1320,201.740397,180.859707,81.956941
1321,202.031221,181.222098,80.839275
1322,201.530665,180.694572,77.931622
1323,201.436243,180.43574,78.705755
1324,201.040612,183.248461,77.218939
1325,200.546391,184.471427,76.058334
1326,200.263719,185.975159,76.139894
1327,201.020453,185.342483,75.48054
1328,201.024003,185.061332,74.610564
1329,201.073954,189.999274,74.876633
1330,200.62504,190.513643,76.680396
1331,200.590472,191.001742,76.939904
1332,200.401467,191.082311,76.994017
1333,199.909768,191.040643,76.550188
1334,199.444809,191.447912,78.273263
1335,199.263023,191.690572,78.475955
1336,199.227463,191.472477,77.141668
1337,199.238451,191.156552,74.840422
1338,199.708522,191.612166,73.215177
1339,199.020425,190.957286,73.549049
1340,198.971795,191.307585,73.996042
1341,199.451117,191.738343,73.913617
1342,198.620295,191.709961,76.6015
1343,198.793729,189.494551,78.170567
1344,198.792474,188.037011,75.6376
1345,198.138054,190.77798,78.000507
1346,195.641171,190.706058,77.768852
1347,195.408368,190.320687,75.889616
1348,194.129037,190.750398,72.865007
1349,194.302488,191.056741,74.035279
1350,193.928606,190.92002,72.882968
1351,193.664061,190.653149,72.212155
1352,194.358786,191.651221,72.567348
1353,194.066926,191.480684,73.077878
1354,193.69478,190.916099,72.544821
1355,193.693272,190.440441,74.263121
1356,193.726693,188.631478,74.884709
1357,194.148774,188.769572,74.625485
1358,193.632559,188.67893,75.00415
1359,193.404155,187.950541,72.114557
1360,192.671997,188.137727,71.48588
1361,192.577703,188.208293,73.104815
1362,192.661324,188.062064,72.765583
1363,193.119013,188.243748,73.28254
1364,192.985447,188.798348,70.409803
1365,192.728469,189.247863,69.553836
1366,192.736617,189.407626,69.55327
1367,192.605613,189.542698,69.420636
1368,192.477623,189.647114,71.641624
1369,194.996665,187.187527,70.007109
1370,194.529969,187.190806,72.702263
1371,194.722479,187.603783,70.755777
1372,194.629744,187.929995,71.93974
1373,196.525248,187.317808,69.758916
1374,196.814426,184.188053,71.219988
1375,197.009226,181.90442,72.271645
1376,195.130466,179.896876,74.993601
1377,194.610782,180.620326,75.879105
1378,194.048154,180.617573,74.172915
1379,195.225929,182.997159,77.053745
1380,195.063727,185.294081,75.191462
1381,194.79746,185.071382,78.397663
1382,197.364665,185.789239,78.085213
1383,196.668665,187.662664,80.524837
1384,197.016317,187.609375,78.949096
1385,199.813385,187.728441,80.020461
1386,199.902785,188.070312,82.111328
1387,199.881239,188.1761,81.456185
1388,199.803838,185.909275,81.716175
1389,199.886018,188.310711,79.533833
1390,199.784662,188.638742,79.804467
1391,200.144693,188.337139,79.840998
1392,200.361618,186.008735,79.4392
1393,200.360228,186.266761,76.528748
1394,200.667856,186.408635,78.435166
1395,200.924227,188.832215,79.061637
1396,201.401425,188.522697,79.061835
1397,201.587297,188.456117,78.663167
1398,201.464975,188.221614,77.591555
1399,201.447255,188.032098,74.979455
1400,204.159428,187.991894,73.225922
1401,201.630494,189.782587,73.716415
1402,201.576218,189.427269,71.28605
1403,199.030904,187.149901,69.009633
1404,198.586374,187.398006,69.564889
1405,199.029503,187.601971,67.796668
1406,199.228818,188.151707,70.493778
1407,197.753629,189.944183,70.390953
1408,197.847526,189.683013,70.377704
1409,197.678352,189.40633,68.908105
1410,197.099437,187.155924,68.565479
1411,196.70464,186.785161,67.818474
1412,196.431937,186.759307,68.458026
1413,196.87826,187.057742,68.817279
1414,196.733646,186.814057,71.125973
1415,196.346417,184.371857,71.654944
1416,194.711843,184.520112,70.635001
1417,194.206762,184.943883,70.420944
1418,194.238471,185.177887,67.628731
1419,194.642709,185.56715,66.93781
1420,194.476583,186.087973,66.245182
1421,194.533698,186.355271,67.615723
1422,194.518756,186.27544,69.946648
1423,195.17945,186.816265,73.474164
1424,195.37413,186.754363,73.548798
1425,195.811726,186.9546,75.497953
1426,196.456379,186.557787,74.665263
1427,196.400138,187.24112,75.318223
1428,195.948926,185.981645,77.053533
1429,196.353252,186.215694,75.794642
1430,193.862817,185.766017,76.040924
1431,193.831572,185.361594,76.776624
1432,191.384554,183.066142,74.957184
1433,191.537257,183.321501,75.226683
1434,192.45607,183.494293,74.258929
1435,193.207054,183.583702,72.786861
1436,192.12091,182.876338,73.657313
1437,192.223391,183.433118,75.96829
1438,192.154984,183.461661,77.052487
1439,192.010277,183.821637,77.468573
1440,192.255998,184.178979,75.741967
1441,192.383564,184.39212,76.064669
1442,192.368815,184.751321,75.187494
1443,193.245505,182.75628,75.416165
1444,193.210642,184.793142,76.767327
1445,192.587608,182.953114,79.641612
1446,192.953992,180.83829,80.553265
1447,195.249383,180.803367,81.145468
1448,195.107897,180.7271,81.043093
1449,196.608365,178.292305,84.539501
1450,196.427558,178.282042,81.781792
1451,196.663913,175.966858,83.464319
1452,197.056409,175.968933,84.358793
1453,196.71566,176.07607,86.82013
1454,196.632265,175.731403,85.449235
1455,194.410456,176.165959,86.27651
1456,192.415365,176.567952,84.894518
1457,189.718574,178.638165,83.215705
1458,190.099618,178.560217,84.669292
1459,189.885133,173.430459,82.535839
1460,189.496149,171.612426,83.728021
1461,190.221266,169.298498,84.976198
1462,190.01061,167.569582,83.401378
1463,189.467222,167.6111,84.409582
1464,189.565217,165.048228,84.462921
1465,189.653639,162.760158,85.282668
1466,190.168978,162.542174,84.506227
1467,189.568432,162.446291,86.238098
1468,189.798309,162.656217,89.278094
1469,190.219895,160.141308,89.356086
1470,189.796899,162.112915,91.507109
1471,188.244808,162.001619,89.312078
1472,187.958605,160.18994,89.655638
1473,188.007975,160.23998,89.67657
1474,185.870062,160.527499,89.543199
1475,185.826107,160.893381,88.86799
1476,185.362776,161.000337,86.566717
1477,184.618241,160.509215,86.415085
1478,183.060509,157.899358,88.074548
1479,182.481701,157.988116,88.531149
1480,182.547706,158.090575,86.252827
1481,182.526019,157.694504,86.712621
1482,182.153901,155.642495,84.440451
1483,182.056113,155.393975,82.752794
1484,182.259935,153.011461,80.582537
1485,181.722095,152.767334,80.287271
1486,178.912988,150.696078,77.891492
1487,179.170115,147.486027,75.22323
1488,179.232354,144.768003,75.764111
1489,179.052727,144.525444,75.965179
1490,179.26906,142.455338,76.415472
1491,179.555628,139.834663,79.067189
1492,179.435004,137.81031,80.055527
1493,179.628478,140.289753,78.186413
1494,179.533053,140.774157,79.367175
1495,179.02298,140.544958,77.832541
1496,179.063462,138.533327,79.155869
1497,176.696295,136.790397,78.00997
1498,176.771162,134.385744,78.044933
1499,176.979293,131.930372,79.596651
1500,176.564549,129.818388,82.083583
1501,176.438134,127.164678,82.15075
1502,178.916307,127.173551,79.247833
1503,178.374781,124.531802,81.994018
1504,179.037365,127.109037,84.327223
1505,179.649282,124.307006,84.462753
1506,179.323429,124.265056,85.169969
1507,179.3511,121.90655,82.862674
1508,181.573789,122.37945,85.301216
1509,181.501385,120.09469,85.183949
1510,182.036054,120.101557,88.042751
1511,181.808053,122.440322,85.8123
1512,181.561746,122.499668,86.321313
1513,181.74921,120.340121,88.461239
1514,181.583126,119.876734,88.711157
1515,181.672523,119.936248,85.313993
1516,179.506697,120.044171,87.544992
1517,179.550263,120.163611,87.279606
1518,178.615833,120.089485,89.904154
1519,178.456228,120.168976,92.57055
1520,179.021334,120.330647,93.980667
1521,178.919784,120.131764,90.501203
1522,178.430035,120.277877,88.669149
1523,178.602958,120.312448,85.972043
1524,178.695752,120.506287,85.029505
1525,178.182226,120.695689,82.58832
1526,178.264174,120.449848,80.331931
1527,177.820524,120.537022,83.017172
1528,176.456195,120.372257,82.58297
1529,176.604025,119.225324,82.386947
1530,176.42726,117.131845,82.138127
1531,178.959252,117.415398,82.18046
1532,178.904851,117.393287,81.68042
1533,180.90992,119.829148,83.765158
1534,181.473617,119.897638,81.442657
1535,181.009341,119.275822,80.867845
1536,181.075787,116.449883,80.746786
1537,182.196296,116.631678,78.516249
