episode,gamma=0.99,gamma=0.8,gamma=0.5
722,78.187463,-28.103395,-66.231076
723,76.34782,-25.500561,-66.412164
724,79.57345,-28.871988,-66.333741
725,81.598447,-31.910554,-68.460319
726,81.797136,-34.644099,-70.636916
727,85.656716,-37.594149,-70.682111
728,88.49339,-39.524989,-70.776391
729,91.17134,-42.431717,-75.020503
730,92.78431,-43.077483,-71.197667
731,93.33375,-43.061073,-66.71853
732,93.309776,-43.041602,-62.259466
733,96.939116,-42.658304,-58.279133
734,100.359571,-40.251194,-54.402181
735,103.800917,-40.920376,-58.992901
736,105.686829,-44.871681,-56.869772
737,104.552309,-44.655155,-58.738316
738,103.353629,-47.452999,-55.077395
739,103.652909,-44.053491,-52.190956
740,103.965478,-42.19287,-47.767889
741,105.50703,-42.663139,-43.725911
742,108.90693,-42.900815,-39.634743
743,108.946207,-45.279422,-41.524715
744,110.805914,-45.124611,-38.842516
745,112.56339,-47.942594,-41.378154
746,114.678139,-45.858382,-38.988926
747,111.389198,-44.445073,-38.790336
748,111.209273,-44.471683,-41.808272
749,111.863815,-44.430232,-37.167837
750,113.926035,-44.060905,-39.058598
751,113.602476,-44.147548,-38.783043
752,116.106695,-44.952607,-36.979013
753,119.173597,-45.875194,-38.741923
754,116.45748,-48.840206,-38.787767
755,118.409797,-44.832221,-38.929396
756,119.886253,-49.090983,-37.385858
757,119.792871,-44.932583,-41.858804
758,123.165032,-48.777763,-43.4095
759,123.110282,-48.609128,-43.41532
760,125.854382,-45.618507,-47.508705
761,128.957657,-45.660192,-43.532261
762,131.351151,-41.061461,-42.555102
763,131.795824,-44.521393,-40.002997
764,131.595802,-44.093903,-43.893486
765,134.091532,-44.845286,-39.982803
766,133.957806,-44.76578,-36.03131
767,136.84164,-42.024482,-35.47009
768,139.656676,-38.989601,-35.208234
769,139.97076,-36.798294,-33.644495
770,139.335834,-37.034119,-33.704153
771,139.452061,-37.173991,-37.062185
772,140.019487,-37.362291,-36.642597
773,140.186196,-34.294974,-36.511678
774,141.115015,-30.632855,-36.747417
775,144.824387,-27.560641,-36.701873
776,144.788061,-25.052659,-33.029473
777,144.550657,-21.916685,-34.41955
778,144.717296,-23.865347,-34.340698
779,145.846779,-21.233784,-34.222496
780,146.206707,-19.30934,-34.489254
781,146.753317,-20.25319,-33.094943
782,144.854686,-24.522989,-30.912982
783,142.267978,-25.063349,-30.786913
784,142.611948,-25.237261,-31.014533
785,143.132001,-25.337554,-30.559391
786,143.325123,-22.594869,-35.002888
787,144.268388,-24.06594,-35.024167
788,144.464258,-23.470858,-36.812668
789,144.656167,-20.911148,-37.09058
790,145.054614,-17.699858,-37.446061
791,147.919962,-18.799629,-37.225122
792,147.830111,-19.998081,-40.808432
793,148.512225,-17.865035,-36.565873
794,148.673248,-21.947272,-41.837048
795,148.578733,-18.77548,-41.706907
796,148.81203,-17.38416,-37.433122
797,148.904573,-20.890791,-41.547476
798,148.813993,-20.247452,-44.69468
799,148.936537,-20.881533,-49.367983
800,147.673635,-23.402602,-47.390039
801,147.567264,-23.099908,-46.768029
802,150.321638,-20.784727,-48.349926
803,150.759168,-20.042399,-47.809856
804,150.224084,-19.262973,-43.36448
805,150.788794,-16.441274,-39.337784
806,151.294113,-14.314152,-41.851339
807,151.81395,-14.406489,-42.656676
808,153.736974,-17.55992,-40.67082
809,156.338699,-20.994953,-36.437247
810,156.77312,-20.389728,-34.405916
811,156.46359,-22.492321,-29.84802
812,157.054126,-19.740753,-26.367796
813,157.467966,-21.161347,-24.623657
814,157.684145,-16.125825,-23.231138
815,157.364795,-16.276921,-18.754067
816,157.074401,-13.550763,-20.555293
817,156.943338,-13.449498,-20.456782
818,157.013966,-16.305094,-18.926645
819,157.216013,-14.234803,-21.477573
820,157.444137,-14.084098,-21.350771
821,159.247236,-13.7567,-20.914295
822,159.416941,-11.191418,-19.11781
823,159.68394,-13.435617,-18.852229
824,161.266392,-12.928445,-19.192178
825,161.772751,-12.167957,-19.133744
826,161.984729,-11.937544,-19.698822
827,161.775843,-11.169759,-15.430941
828,160.381495,-11.365051,-15.611594
829,157.418242,-11.753084,-17.990884
830,156.974617,-8.298291,-17.924309
831,159.048868,-7.926893,-22.29081
832,158.83877,-4.718794,-25.358414
833,158.686719,-5.602732,-29.800009
834,158.212543,-2.901124,-34.016795
835,157.788578,-5.567646,-36.750791
836,157.454274,-2.531917,-35.1526
837,158.089007,-2.100264,-33.190753
838,156.863007,-1.961523,-34.688382
839,157.363819,-1.999582,-37.971559
840,159.687597,-2.644835,-42.896328
841,159.055573,-2.488016,-47.313654
842,158.561078,-0.390721,-49.999418
843,157.973291,0.210595,-50.550163
844,156.987721,2.85349,-46.875532
845,159.940774,3.974923,-51.080157
846,158.91841,4.17007,-52.709462
847,159.095932,4.064998,-52.59737
848,162.049657,4.204168,-48.693432
849,161.693304,1.445989,-46.046131
850,164.204529,1.758649,-49.05902
851,164.917083,4.306669,-46.753565
852,165.339652,4.952689,-46.865189
853,165.940484,4.998185,-44.317647
854,166.161506,4.980734,-45.052185
855,169.086651,7.86514,-40.775942
856,168.899484,7.38602,-42.491919
857,166.995136,10.978697,-42.082461
858,167.064798,10.489923,-42.437894
859,166.419189,13.528931,-38.043332
860,166.343571,13.029162,-40.48218
861,166.257388,9.914631,-40.616209
862,166.152174,10.946939,-44.277017
863,167.280134,9.363314,-44.298853
864,167.506026,9.170676,-43.934366
865,167.405421,8.867631,-40.528946
866,167.817011,9.973489,-40.151059
867,168.057125,8.910517,-42.648219
868,168.257479,6.06958,-41.224045
869,167.918215,3.058373,-38.26676
870,167.865437,-0.750189,-39.711264
871,167.805222,-0.38436,-41.60947
872,167.984864,1.697346,-37.72048
873,168.150816,1.671459,-40.340655
874,168.952469,-2.326792,-38.799868
875,168.320141,-5.970458,-39.120369
876,167.282994,-9.230325,-35.070843
877,167.971987,-10.070358,-35.109817
878,168.31235,-13.305973,-30.693574
879,168.51586,-9.821211,-32.51575
880,170.889337,-13.250307,-34.482222
881,171.241107,-12.947355,-34.537639
882,173.646419,-12.494342,-34.279345
883,175.567458,-11.284634,-33.549337
884,178.684035,-10.016732,-32.145151
885,178.347998,-10.66909,-31.503983
886,178.354271,-13.254473,-34.011154
887,178.522378,-13.220717,-33.693295
888,178.571678,-11.877532,-34.263815
889,178.274154,-12.18068,-33.325914
890,178.389793,-11.606888,-32.489236
891,178.282257,-11.836662,-35.199193
892,178.194542,-7.829527,-39.449578
893,178.368423,-7.539986,-36.51024
894,178.279022,-7.039827,-36.224772
895,178.205018,-2.853257,-35.709371
896,178.824167,-2.757829,-31.668986
897,178.959188,-1.362735,-34.525974
898,179.359249,-0.362486,-34.531439
899,179.021295,-3.436061,-35.246422
900,179.587114,-2.56615,-30.438178
901,181.782211,-3.687145,-32.358666
902,181.996661,-1.293877,-37.2712
903,182.462239,-4.141029,-35.801498
904,182.596828,-6.113351,-35.925809
905,182.865529,-6.118158,-39.16934
906,181.949809,-8.860058,-43.555341
907,181.796264,-10.99332,-44.775297
908,182.03634,-7.539472,-41.953669
909,182.210679,-4.332841,-41.869414
910,181.598803,-2.716307,-41.704916
911,181.077558,-6.076182,-43.845563
912,181.37864,-5.655822,-44.441573
913,181.882715,-5.337317,-46.672644
914,182.015101,-1.838604,-43.665459
915,181.472828,-2.189204,-43.781699
916,182.035508,-3.780625,-46.459156
917,182.086728,-6.405013,-44.964603
918,182.011726,-5.798056,-45.39654
919,182.687383,-4.350283,-42.569975
920,182.992582,-4.027326,-42.701312
921,183.154834,-3.956425,-43.523708
922,183.017861,-3.952857,-44.003157
923,182.99443,-4.96034,-46.649363
924,183.403697,-5.845571,-47.055516
925,184.123617,-5.61244,-44.730749
926,182.281187,-6.930118,-45.250032
927,182.465633,-6.058339,-42.584858
928,182.977347,-3.556863,-44.511017
929,184.055977,-0.636012,-44.442473
930,186.902194,2.014594,-46.468064
931,187.466562,-1.827248,-44.871189
932,187.604059,-4.701024,-45.038557
933,187.918925,-4.988892,-42.187216
934,188.200224,-4.380492,-41.620708
935,188.42615,-4.206522,-41.781315
936,188.664343,-1.203197,-39.185554
937,188.975135,-1.094793,-40.793967
938,189.42118,-1.263811,-44.700529
939,192.29625,-0.812,-44.722573
940,192.873841,2.50021,-45.192935
941,194.063155,-0.28903,-42.965223
942,196.789299,-0.303198,-42.664205
943,199.984291,-3.082145,-39.549819
944,201.04671,-6.209031,-43.580289
945,202.326293,-6.327617,-47.145465
946,202.202732,-6.514042,-42.802228
947,204.773435,-8.412372,-38.616537
948,204.278554,-8.103337,-42.50259
949,204.787405,-10.417983,-42.66571
950,205.32086,-7.41923,-42.549827
951,205.825565,-7.75977,-39.81411
952,205.946316,-7.537752,-41.859923
953,206.575125,-9.114603,-44.282014
954,206.534033,-9.21499,-48.904784
955,206.972832,-8.580132,-50.154023
956,206.676894,-8.485188,-50.162315
957,206.934834,-10.582171,-48.127262
958,209.348493,-11.154276,-48.207754
959,209.682011,-14.05243,-44.044233
960,210.529674,-13.213532,-48.551439
961,210.52647,-10.179035,-50.086745
962,211.042925,-9.563118,-45.912974
963,211.049475,-6.234903,-46.56936
964,211.646215,-5.352048,-42.785938
965,211.793073,-2.050191,-45.540607
966,211.966775,-2.405284,-47.894456
967,212.178831,-3.52949,-48.55864
968,212.328093,-2.176109,-50.344812
969,212.161505,-1.594705,-51.586178
970,212.38387,1.600995,-52.059461
971,213.067814,2.354283,-50.249988
972,213.008142,2.282455,-48.603103
973,212.858583,-0.000545,-51.636058
974,213.174283,-0.51916,-49.006717
975,212.438907,2.823732,-46.246083
976,212.62319,3.753464,-44.312407
977,213.62361,3.007356,-48.355436
978,212.809294,0.870023,-47.605696
979,212.848635,4.673294,-50.986063
980,213.031776,0.656099,-49.908656
981,213.024549,2.808034,-45.487325
982,212.909486,-1.314179,-45.395107
983,213.552763,-0.822131,-42.710673
984,212.497971,-0.140661,-47.519451
985,212.610566,-0.655356,-47.384037
986,213.302743,2.724066,-46.001797
987,213.13587,5.502939,-45.95985
988,213.222595,5.15949,-44.464455
989,213.57224,8.495454,-43.806278
990,214.302014,10.459731,-39.92482
991,214.408321,9.322123,-39.801196
992,214.718909,8.914808,-36.897887
993,215.058752,9.528497,-35.149633
994,214.588206,13.458869,-33.836704
995,214.567671,10.113429,-38.448128
996,214.47513,7.440992,-37.06092
997,213.954259,7.001338,-36.701339
998,214.223689,3.66769,-34.869419
999,214.191652,3.450612,-35.286628
1000,214.522073,6.294419,-33.88109
1001,214.176839,8.116488,-34.555345
1002,214.196337,10.735725,-30.141789
1003,214.004924,11.18948,-29.453782
1004,213.550391,13.456786,-27.233017
1005,213.005203,15.342825,-31.599505
1006,213.172103,18.201097,-33.079259
1007,214.07699,20.670526,-33.23306
1008,214.266389,24.022509,-32.339917
1009,213.989891,22.454184,-34.552706
1010,214.515109,18.927739,-36.210214
1011,214.974725,20.222088,-36.731247
1012,215.439666,23.123107,-32.564602
1013,215.182524,24.674441,-31.928494
1014,214.755283,24.184155,-29.251606
1015,214.736498,20.876788,-33.440715
1016,215.838285,20.714951,-35.521115
1017,215.463402,22.440621,-34.819695
1018,215.444118,24.555752,-36.624683
1019,216.281469,26.96177,-34.972862
1020,216.381899,28.270746,-37.660581
1021,216.210903,27.022607,-37.146135
1022,216.266446,22.915154,-36.836703
1023,216.944502,26.065065,-40.565642
1024,216.57991,27.390671,-40.018844
1025,216.490271,27.947539,-43.741513
1026,216.356147,27.665095,-43.887413
1027,217.51578,28.883142,-42.132264
1028,216.982306,30.348275,-44.794985
1029,216.837345,26.81181,-46.873653
1030,216.861642,25.889257,-45.821739
1031,216.987332,23.19347,-41.707957
1032,216.585425,26.012156,-38.984566
1033,216.245232,25.418099,-37.023956
1034,215.969839,24.88567,-37.263576
1035,216.114748,23.88982,-37.69894
1036,216.276513,23.738274,-36.203412
1037,216.715728,24.149657,-36.670743
1038,216.806869,24.225714,-32.368513
1039,216.156008,27.394124,-32.387995
1040,215.733107,27.366435,-30.734413
1041,215.752865,27.492598,-30.686457
1042,215.399174,27.471892,-32.200828
1043,214.988228,23.854422,-30.57695
1044,214.931734,24.547202,-35.42027
1045,214.659487,27.581166,-34.278699
1046,214.621245,24.641832,-34.405896
1047,214.391996,21.673688,-37.004702
1048,214.881783,21.874502,-39.658904
1049,215.117049,18.081709,-39.730449
1050,214.463352,17.469694,-39.259234
1051,213.692326,13.889293,-39.18517
1052,213.326095,10.850485,-39.38906
1053,213.085598,11.100636,-36.577692
1054,212.329187,15.268693,-37.94864
1055,213.058734,16.138458,-36.059628
1056,212.939234,19.072485,-35.903378
1057,213.17964,18.880613,-36.116979
1058,213.988287,17.962245,-33.529535
1059,214.309107,16.279314,-35.682647
1060,213.914175,16.491747,-37.683315
1061,213.564804,16.533257,-36.020118
1062,213.799881,16.660599,-36.398747
1063,214.06764,16.119392,-40.658255
1064,214.603357,15.748854,-40.575651
1065,214.761371,12.807423,-43.041532
1066,214.548466,10.349491,-42.209622
1067,214.773043,13.952032,-43.469644
1068,215.042595,17.362816,-45.103039
1069,214.885534,17.845378,-45.042934
1070,215.122597,16.576051,-41.204007
1071,215.388281,16.85477,-45.276731
1072,215.368522,19.826378,-42.565522
1073,215.694281,19.928737,-42.389153
1074,213.057291,20.278812,-41.860089
1075,212.649456,23.604743,-41.707114
1076,212.877146,20.371264,-42.593468
1077,212.454015,22.324978,-39.834587
1078,212.177455,22.441942,-39.501551
1079,212.680442,23.48855,-39.787342
1080,212.943089,23.623072,-41.036658
1081,212.70463,24.705801,-37.973992
1082,212.552391,25.224792,-40.644953
1083,212.628057,27.834074,-41.003302
1084,211.90931,27.768185,-45.28208
1085,212.506257,30.093337,-40.632393
1086,212.143433,26.1908,-40.469183
1087,211.65692,23.690812,-37.896523
1088,211.444589,23.716125,-37.883959
1089,211.413856,24.051372,-39.710002
1090,210.816229,20.766128,-41.351357
1091,210.384369,21.339178,-44.23178
1092,210.592289,22.611305,-44.304409
1093,209.643012,22.54892,-49.007179
1094,209.206154,19.310364,-49.213224
1095,209.562257,16.752008,-52.017029
1096,209.726569,20.047695,-47.395155
1097,209.620355,19.574005,-46.822303
1098,209.96304,20.172528,-47.579066
1099,209.573497,19.530049,-46.756491
1100,209.122093,22.510568,-42.298016
1101,208.279667,19.215232,-40.052694
1102,208.552529,19.389185,-43.695079
1103,208.558389,19.662201,-43.991765
1104,208.440112,16.923296,-44.07769
1105,208.784278,17.101604,-43.399399
1106,208.90492,14.668493,-41.06857
1107,208.377493,12.517032,-38.011215
1108,208.036663,9.052591,-33.658962
1109,207.983961,6.502116,-35.236632
1110,207.995625,4.736756,-35.458726
1111,207.518188,5.829801,-31.466432
1112,207.736717,6.871664,-35.602541
1113,207.101808,7.043742,-35.187008
1114,207.014197,7.448337,-35.578893
1115,207.123779,7.310603,-38.238665
1116,206.927137,7.600445,-38.351726
1117,206.66213,5.311938,-38.071953
1118,206.903938,5.641189,-41.046833
1119,207.408415,4.104407,-40.622473
1120,207.066198,3.777899,-37.800251
1121,206.420601,-0.726395,-39.63083
1122,206.067407,-3.300706,-38.304773
1123,206.239921,0.75385,-40.622218
1124,206.162164,0.193401,-36.60881
1125,207.024523,0.440046,-34.696829
1126,206.501914,0.571223,-34.969004
1127,206.247467,0.890354,-35.182533
1128,206.48918,3.821152,-36.761524
1129,206.588816,0.574726,-33.231533
1130,206.463221,0.579304,-31.76421
1131,206.893443,1.284538,-30.444717
1132,206.661372,4.322092,-33.653068
1133,206.48668,2.579412,-37.941574
1134,206.517593,5.502383,-39.944475
1135,206.53653,6.340547,-43.949012
1136,206.647243,7.461207,-42.67686
1137,206.656743,4.324844,-39.823615
1138,206.917242,-0.13756,-39.866932
1139,207.00661,-2.072379,-42.527041
1140,207.099649,-3.851828,-38.125417
1141,207.438921,-4.668041,-39.655826
1142,207.381053,-8.158518,-37.720889
1143,207.410862,-4.766572,-34.06322
1144,207.502601,-4.979926,-35.823034
1145,207.709537,-4.194838,-31.311686
1146,207.396483,-3.99633,-27.820991
1147,207.552822,-1.631418,-23.779345
1148,207.414208,-2.975239,-25.588337
1149,207.107071,0.633132,-22.726635
1150,206.927588,4.51731,-23.099364
1151,207.340407,8.16218,-25.94432
1152,207.852743,8.522106,-26.085957
1153,207.830338,9.596766,-25.729982
1154,207.95985,7.11563,-25.874474
1155,208.373158,7.033677,-21.948793
1156,207.656077,6.346173,-19.63804
1157,207.264266,3.081546,-18.199115
1158,207.066198,2.656806,-22.089638
1159,206.535148,5.759828,-26.361135
1160,206.181992,7.707602,-27.288188
1161,206.53448,7.719685,-27.659294
1162,206.544785,5.392585,-29.021189
1163,206.771955,4.56252,-28.605187
1164,206.787926,3.882966,-28.509892
1165,206.711849,3.115102,-28.659341
1166,206.48497,5.88698,-30.793897
1167,206.781303,5.629304,-31.375055
1168,206.86891,5.209767,-31.441953
1169,206.88124,4.71811,-29.401275
1170,206.879141,5.677524,-27.810039
1171,206.929774,9.15768,-30.136304
1172,205.514739,5.351887,-28.825414
1173,204.432254,5.845186,-33.486105
1174,204.842318,6.305856,-33.022324
1175,207.517593,5.256146,-34.716457
1176,207.470027,5.606063,-35.373167
1177,207.619991,7.206201,-38.936122
1178,207.781054,5.056769,-38.898336
1179,207.807183,8.528808,-38.06672
1180,204.427851,8.525759,-42.361182
1181,203.788931,8.054023,-40.391171
1182,203.484871,10.620265,-45.03069
1183,203.84454,11.802706,-45.265913
1184,203.574473,9.050733,-42.896933
1185,203.402719,8.320407,-43.130408
1186,204.209955,8.280338,-43.699744
1187,204.470296,8.212435,-41.36535
1188,204.307721,8.942332,-45.729577
1189,204.090238,5.507709,-44.236298
1190,204.150362,5.81388,-39.572833
1191,204.333051,8.881982,-40.689804
1192,204.501896,8.203487,-42.38316
1193,204.347944,7.602351,-42.187805
1194,205.154348,7.779537,-40.496798
1195,205.754544,8.249397,-40.261388
1196,206.083487,11.066145,-38.60678
1197,206.561435,11.279025,-39.375218
1198,207.217,14.224483,-39.324491
1199,207.139947,13.764472,-41.322571
1200,207.151014,15.863818,-43.781411
1201,207.273132,15.992665,-43.697878
1202,208.406194,19.274966,-43.821446
1203,208.359237,15.477874,-44.33084
1204,208.335298,15.755032,-44.012661
1205,208.547123,14.296471,-44.069631
1206,208.226396,12.320783,-48.397261
1207,208.203272,14.468447,-45.74785
1208,208.324314,13.492452,-47.010516
1209,208.521875,17.06975,-50.998411
1210,208.170688,16.328771,-47.656603
1211,208.311073,19.438707,-45.965287
1212,208.688102,19.476894,-50.345724
1213,208.368543,19.706372,-49.570203
1214,208.968032,15.745756,-51.909831
1215,206.647891,11.69358,-54.284916
1216,204.32451,9.539761,-54.753449
1217,201.790942,12.676249,-53.097405
1218,200.68498,15.016988,-52.949698
1219,200.690264,12.991398,-52.518521
1220,200.133989,12.383151,-51.146483
1221,200.605102,12.079524,-51.069029
1222,201.233039,16.581377,-50.787938
1223,201.418004,20.039874,-52.577603
1224,201.636871,19.211531,-52.530646
1225,201.714791,18.91475,-55.158566
1226,200.908223,18.818627,-55.297904
1227,200.893388,21.096872,-55.41393
1228,201.125578,16.74806,-53.110486
1229,201.399806,16.895912,-51.729467
1230,201.846124,21.067255,-52.060265
1231,201.734869,21.101062,-53.227499
1232,201.370014,19.446443,-57.353087
1233,201.273953,19.174015,-58.165316
1234,201.863246,18.386425,-55.992863
1235,201.879221,16.387891,-55.581027
1236,202.164604,16.41145,-55.427917
1237,201.537008,14.450667,-55.230035
1238,201.874448,17.393317,-59.692924
1239,201.635289,17.719291,-61.664195
1240,200.949813,19.282906,-63.344355
1241,201.153691,21.300337,-63.270463
1242,200.666083,21.138287,-59.057844
1243,200.861595,23.14668,-59.032097
1244,200.888799,23.018827,-62.990908
1245,201.478798,27.117715,-60.965026
1246,201.18915,26.318624,-60.634385
1247,201.226754,22.875561,-63.351873
1248,200.991802,23.268602,-65.607518
1249,201.597613,27.162435,-63.597159
1250,201.676835,28.070197,-68.348923
1251,201.7191,28.520985,-63.914877
1252,201.796534,25.115797,-65.422245
1253,201.858771,25.337991,-65.779946
1254,202.001401,24.234429,-65.748987
1255,201.868063,26.816684,-70.002729
1256,201.385763,27.037185,-73.760602
1257,202.141241,26.229018,-78.132242
1258,202.458957,28.072575,-79.758602
1259,202.83302,28.861997,-78.174145
1260,202.969559,24.841173,-78.170226
1261,202.578384,22.321534,-78.910382
1262,202.26473,24.335797,-78.360495
1263,202.194599,23.705285,-78.219244
1264,202.047946,21.930108,-78.541568
1265,202.147674,25.507047,-78.472419
1266,202.125544,22.297842,-76.641552
1267,201.863025,20.759397,-74.345498
1268,199.16584,20.804458,-75.399032
1269,199.082879,17.539018,-71.580542
1270,198.904552,17.793837,-74.034043
1271,199.226219,16.066389,-71.979246
1272,196.954751,13.228216,-70.497956
1273,197.969506,14.135563,-71.693038
1274,198.798693,10.830092,-66.879912
1275,198.783168,10.032777,-68.75438
1276,198.872242,14.128443,-64.739759
1277,199.159534,11.077497,-66.73169
1278,198.001237,13.395461,-66.369657
1279,198.459695,12.723988,-69.261078
1280,198.860911,9.6239,-66.162495
1281,199.401042,9.980382,-64.706966
1282,200.16242,10.554677,-66.582053
1283,200.715595,11.000506,-61.806787
1284,198.053749,10.747687,-61.835392
1285,198.058204,14.872356,-63.577626
1286,198.541547,15.423654,-63.622314
1287,198.398939,14.929157,-66.204604
1288,198.126894,16.558253,-68.626373
1289,198.24154,15.585699,-66.808119
1290,198.609612,15.791853,-66.408091
1291,198.370595,15.399359,-70.717904
1292,198.41735,15.018728,-72.125981
1293,198.13378,11.842076,-70.373176
1294,197.898618,8.094979,-74.89522
1295,197.431323,5.995725,-73.914785
1296,196.865362,8.349237,-75.862263
1297,196.82671,4.425459,-79.519413
1298,196.91689,4.319435,-81.258022
1299,193.847636,0.165185,-78.737727
1300,193.907059,0.34909,-79.915068
1301,193.98329,2.246046,-77.364083
1302,194.763507,-1.429937,-79.895727
1303,194.734135,-4.334627,-80.095479
1304,194.709319,-3.485876,-79.905099
1305,194.623664,-5.612624,-80.333044
1306,194.096197,-4.084815,-80.642649
1307,194.137921,-4.914409,-76.140851
1308,194.399477,-4.750432,-80.274649
1309,195.175914,-5.85067,-81.655701
1310,193.022971,-7.737946,-77.056602
1311,193.443515,-4.983629,-78.869357
1312,192.91952,-8.992354,-79.530652
1313,192.942642,-7.001207,-77.662669
1314,193.542016,-7.469947,-78.291938
1315,193.060418,-3.539699,-75.903218
1316,195.737964,0.625358,-77.89892
1317,198.212378,-0.084396,-77.826618
1318,200.375937,-2.575717,-77.748291
1319,201.499402,-2.395916,-73.674942
1320,201.740397,-3.210841,-69.227048
1321,202.031221,-0.029442,-66.791
1322,201.530665,0.561343,-71.048524
1323,201.436243,0.553402,-71.50317
1324,201.040612,0.782687,-71.6835
1325,200.546391,-1.471953,-71.57169
1326,200.263719,-1.076433,-68.916253
1327,201.020453,-0.642974,-66.802052
1328,201.024003,-2.626912,-64.79192
1329,201.073954,1.753791,-68.200964
1330,200.62504,-1.255666,-67.971118
1331,200.590472,-1.532898,-72.009753
1332,200.401467,0.934582,-72.608017
1333,199.909768,2.050981,-68.316215
1334,199.444809,-2.178792,-63.974972
1335,199.263023,-1.784857,-64.400429
1336,199.227463,-2.61664,-64.652817
1337,199.238451,-4.796958,-60.652237
1338,199.708522,0.07586,-62.192714
1339,199.020425,0.366207,-60.981405
1340,198.971795,4.238417,-58.274912
1341,199.451117,4.765176,-58.561511
1342,198.620295,4.554938,-62.662315
1343,198.793729,7.951176,-66.92049
1344,198.792474,9.017118,-67.31724
1345,198.138054,8.147884,-65.801306
1346,195.641171,4.012874,-65.954447
1347,195.408368,4.119482,-70.014089
1348,194.129037,7.654047,-67.563664
1349,194.302488,7.806396,-64.533351
1350,193.928606,3.344574,-64.910448
1351,193.664061,3.294514,-62.500892
1352,194.358786,2.914775,-62.84339
1353,194.066926,5.882691,-58.060776
1354,193.69478,8.510168,-57.735543
1355,193.693272,11.61002,-60.431162
1356,193.726693,11.251482,-60.829753
1357,194.148774,6.465722,-61.541359
1358,193.632559,9.730817,-57.233827
1359,193.404155,10.712279,-55.422251
1360,192.671997,10.908375,-57.251988
1361,192.577703,11.091123,-57.173358
1362,192.661324,11.015202,-52.483049
1363,193.119013,8.979407,-50.025401
1364,192.985447,8.570826,-46.111234
1365,192.728469,8.063924,-45.893721
1366,192.736617,7.936916,-41.471527
1367,192.605613,8.884253,-42.896283
1368,192.477623,7.933391,-45.087481
1369,194.996665,6.930505,-41.560978
1370,194.529969,9.567251,-43.827215
1371,194.722479,9.81523,-43.539888
1372,194.629744,9.755135,-46.440751
1373,196.525248,10.851547,-48.247796
1374,196.814426,13.332274,-48.510276
1375,197.009226,13.336043,-51.174584
1376,195.130466,10.56311,-47.344666
1377,194.610782,6.43677,-51.385604
1378,194.048154,7.994853,-51.645857
1379,195.225929,7.810463,-50.244138
1380,195.063727,7.878011,-50.3832
1381,194.79746,8.895195,-54.534138
1382,197.364665,6.687944,-55.913021
1383,196.668665,6.450617,-54.210736
1384,197.016317,6.28673,-58.281569
1385,199.813385,6.070392,-59.649716
1386,199.902785,2.935148,-61.637892
1387,199.881239,2.847527,-59.990629
1388,199.803838,3.633561,-59.538738
1389,199.886018,2.209082,-56.923034
1390,199.784662,4.795346,-57.024321
1391,200.144693,7.524068,-57.246057
1392,200.361618,7.349321,-53.589842
1393,200.360228,5.637047,-49.385165
1394,200.667856,7.426473,-46.896553
1395,200.924227,11.175798,-47.140768
1396,201.401425,13.419504,-44.812512
1397,201.587297,13.73691,-43.1325
1398,201.464975,16.832286,-41.749967
1399,201.447255,16.22451,-41.87728
1400,204.159428,20.001325,-42.11758
1401,201.630494,16.943094,-42.71108
1402,201.576218,17.228934,-47.27507
1403,199.030904,18.646313,-45.06162
1404,198.586374,21.521689,-45.224174
1405,199.029503,24.969755,-43.980965
1406,199.228818,23.801974,-46.797175
1407,197.753629,22.957338,-42.719901
1408,197.847526,23.678147,-47.452194
1409,197.678352,19.737565,-48.05351
1410,197.099437,24.245467,-46.657395
1411,196.70464,25.980042,-47.226991
1412,196.431937,26.000503,-47.2014
1413,196.87826,26.496005,-48.403079
1414,196.733646,23.721874,-45.97422
1415,196.346417,23.799632,-46.268165
1416,194.711843,23.704785,-46.610846
1417,194.206762,23.54821,-41.975078
1418,194.238471,26.111724,-41.173835
1419,194.642709,25.170664,-40.777604
1420,194.476583,25.19122,-40.629981
1421,194.533698,24.988284,-40.911615
1422,194.518756,20.539614,-43.199822
1423,195.17945,17.062175,-43.618889
1424,195.37413,17.032075,-41.379224
1425,195.811726,14.926441,-41.1838
1426,196.456379,16.126559,-39.0141
1427,196.400138,13.06985,-41.841048
1428,195.948926,8.88339,-45.368655
1429,196.353252,10.508341,-42.525954
1430,193.862817,7.105217,-38.784295
1431,193.831572,9.066789,-36.154733
1432,191.384554,8.99909,-34.676614
1433,191.537257,9.900478,-30.051556
1434,192.45607,8.322189,-30.138592
1435,193.207054,12.48399,-34.618756
1436,192.12091,15.668273,-32.571913
1437,192.223391,15.56018,-32.767512
1438,192.154984,14.44679,-35.575865
1439,192.010277,14.316771,-34.0334
1440,192.255998,14.659327,-33.569872
1441,192.383564,10.71826,-36.503719
1442,192.368815,7.997353,-32.281218
1443,193.245505,8.230615,-31.336078
1444,193.210642,5.733341,-27.288868
1445,192.587608,2.509122,-27.455036
1446,192.953992,2.426363,-24.620178
1447,195.249383,6.544145,-21.772681
1448,195.107897,9.591113,-22.248599
1449,196.608365,9.194515,-22.160204
1450,196.427558,6.207384,-26.825628
1451,196.663913,8.767443,-23.969335
1452,197.056409,6.59059,-21.86884
1453,196.71566,6.704344,-25.836545
1454,196.632265,6.673768,-28.817482
1455,194.410456,6.769902,-33.386138
1456,192.415365,6.748017,-35.056303
1457,189.718574,6.838926,-35.215394
