episode,gamma=0.99,gamma=0.8,gamma=0.5
169,74.287568,-102.382217,-72.677228
170,77.913124,-99.345128,-70.446183
171,80.264109,-98.06904,-70.324937
172,84.478099,-98.548396,-65.769204
173,87.34703,-97.452832,-64.049932
174,90.2793,-98.383929,-60.081329
175,93.845698,-98.223737,-57.42148
176,97.331347,-101.337475,-57.753952
177,99.037391,-100.623494,-56.404845
178,102.616859,-100.773725,-53.615804
179,105.178607,-100.050354,-49.21669
180,107.90934,-99.675841,-52.039563
181,108.146653,-100.524755,-54.594017
182,108.420929,-100.825321,-49.918715
183,107.246502,-100.911024,-52.991444
184,107.370499,-101.165357,-55.419384
185,107.938957,-101.218674,-59.039303
186,109.594661,-101.01749,-63.6559
187,110.213893,-99.651246,-61.277903
188,110.666359,-102.79039,-57.272364
189,114.478807,-101.932087,-57.134811
190,115.368338,-100.421855,-58.982592
191,118.76986,-100.335329,-59.070599
192,121.081257,-101.335108,-61.703987
193,125.418698,-104.458875,-56.611053
194,126.910874,-103.790097,-54.270433
195,130.318334,-103.879277,-54.15758
196,131.607234,-104.674525,-50.197921
197,131.839044,-105.506594,-47.611184
198,133.507056,-104.571996,-45.874552
199,133.563511,-104.499289,-45.877784
200,136.124847,-104.00483,-45.991369
201,138.731848,-103.393742,-46.878552
202,137.7766,-103.571834,-46.445782
203,137.470303,-104.972339,-41.88313
204,140.355777,-105.214562,-45.715959
205,141.234613,-104.71519,-41.567573
206,141.857554,-101.508236,-45.698175
207,139.255804,-102.719291,-43.338502
208,141.952649,-102.802871,-45.60831
209,142.878869,-102.649809,-50.177396
210,141.78394,-103.198654,-50.583213
211,140.469498,-103.48848,-50.434288
212,138.914353,-104.903708,-53.142079
213,138.877121,-105.15041,-50.791849
214,141.265985,-105.405906,-46.015852
215,140.151286,-103.454993,-46.171617
216,138.883099,-100.301502,-46.225265
217,135.900931,-101.227824,-46.119468
218,135.344149,-99.05278,-46.203727
219,133.206727,-98.593642,-46.462206
220,133.245915,-99.780013,-45.039636
221,134.943121,-98.523224,-44.985855
222,133.498621,-95.421966,-48.873797
223,132.121846,-95.517694,-49.010943
224,132.534727,-95.988642,-48.734482
225,130.77619,-94.734687,-48.674901
226,131.927933,-93.255746,-47.281427
227,129.531453,-93.164486,-46.699102
228,127.893176,-92.47407,-46.685272
229,127.83614,-92.717595,-50.674847
230,127.930046,-94.501246,-50.763996
231,128.249131,-97.610336,-49.115468
232,128.204154,-100.706725,-50.952892
233,128.681044,-100.694206,-50.020267
234,127.850303,-100.35224,-48.256589
235,128.025758,-99.468578,-49.598504
236,128.68753,-100.279929,-49.061763
237,128.831696,-97.494271,-53.269447
238,128.801401,-97.815066,-50.115668
239,128.796727,-97.920972,-47.754337
240,129.260359,-97.592086,-48.036078
241,129.384499,-96.637867,-52.015634
242,129.850487,-97.28221,-52.185311
243,129.800079,-97.272463,-49.180714
244,129.540866,-92.940788,-50.791952
245,129.552062,-93.205601,-46.711549
246,129.746221,-90.654348,-46.384773
247,130.035002,-89.486713,-46.929235
248,130.393482,-89.577832,-47.214185
249,130.817886,-89.126201,-49.590784
250,131.210268,-88.923093,-49.061594
251,130.037037,-89.182605,-44.437764
252,130.812032,-85.688362,-44.578949
253,131.143382,-85.70576,-42.35107
254,131.876451,-87.651463,-42.397805
255,131.789264,-87.571023,-40.139972
256,131.64114,-87.473712,-35.488444
257,131.312328,-90.883357,-35.208374
258,131.300357,-90.823901,-30.341104
259,131.70697,-92.312343,-29.009175
260,132.686322,-91.194231,-27.806661
261,132.882097,-94.201726,-23.352991
262,133.188178,-94.718372,-28.622115
263,134.389279,-95.489691,-33.640137
264,132.431515,-93.670465,-33.449981
265,132.894221,-96.48154,-31.543359
266,133.358225,-93.724984,-34.328809
267,134.162529,-94.140089,-32.586295
268,134.280588,-93.062598,-30.598255
269,135.106296,-90.18804,-30.44937
270,134.822799,-93.389416,-32.82175
271,134.571868,-95.911758,-34.574111
272,134.698303,-95.731205,-31.113228
273,134.454672,-94.917743,-33.965257
274,134.90609,-96.345221,-33.210634
275,135.089556,-97.177315,-37.181436
276,135.091387,-96.575262,-35.198597
277,135.26751,-95.678129,-35.416782
278,137.43706,-95.848982,-35.225288
279,137.182724,-96.232258,-39.041297
280,135.689102,-97.269925,-43.628642
281,136.266119,-97.073805,-43.608716
282,136.208974,-97.110769,-41.066188
283,136.460044,-95.165255,-45.185935
284,136.702038,-98.951233,-44.791128
285,136.621484,-96.184679,-46.376721
286,136.862379,-96.193929,-42.366731
287,138.908373,-94.847137,-37.595406
288,139.040882,-95.917695,-41.205252
289,141.095997,-95.980755,-41.37879
290,138.891656,-96.753937,-41.679195
291,139.1074,-96.797403,-41.676471
292,139.26377,-93.740421,-39.149346
293,137.417353,-90.961343,-36.411197
294,137.95366,-90.029399,-36.596236
295,140.274509,-90.594667,-39.12037
296,140.576586,-87.274755,-38.769417
297,141.254515,-87.942707,-40.855095
298,141.560209,-83.974866,-43.205847
299,142.42614,-85.301361,-40.236307
300,142.893594,-85.276165,-42.554824
301,140.757258,-85.812933,-38.289723
302,140.390322,-85.43294,-32.65487
303,140.725458,-84.887983,-32.954332
304,140.95112,-83.444891,-36.012852
305,140.793579,-83.360729,-32.159633
306,140.304725,-80.864188,-35.968028
307,142.347915,-81.531572,-32.330177
308,142.526022,-80.507632,-32.116547
309,143.284145,-77.404095,-34.487616
310,145.457957,-77.316118,-34.275687
311,147.371228,-77.136549,-31.520337
312,150.339942,-73.886558,-30.918508
313,150.464377,-69.901157,-30.486705
314,152.410265,-69.543129,-34.730563
315,152.504593,-69.399354,-35.679657
316,154.581212,-71.997786,-34.105198
317,154.254668,-72.486918,-34.53352
318,156.64633,-69.111995,-35.955209
319,158.705037,-67.044066,-36.003928
320,161.312686,-63.458717,-35.66055
321,161.394819,-63.558783,-32.793065
322,161.535493,-64.64242,-35.710217
323,163.966129,-64.666568,-33.887987
324,163.885771,-64.453381,-29.810738
325,164.112107,-61.649968,-29.816614
326,166.326801,-61.79479,-26.840595
327,168.165975,-59.518531,-25.930047
328,170.846595,-56.805917,-27.747136
329,173.091037,-57.643522,-28.202556
330,173.311272,-56.95406,-28.158789
331,173.578779,-52.705275,-25.370109
332,173.27867,-49.352059,-26.31763
333,173.343282,-46.923037,-23.478621
334,173.366801,-47.125967,-24.807083
335,175.531873,-47.535672,-24.09981
336,175.338581,-47.330765,-23.775644
337,172.716997,-46.625236,-24.387618
338,172.922364,-49.498739,-24.621965
339,172.011951,-47.395625,-25.471917
340,171.675535,-44.287422,-25.457445
341,172.056586,-44.525947,-21.063705
342,169.34263,-44.409036,-19.489249
343,169.445498,-41.054507,-17.505172
344,167.03363,-41.185274,-17.948712
345,165.13008,-41.820943,-13.534262
346,165.318455,-41.84885,-14.724588
347,165.540721,-43.983159,-11.039529
348,165.082513,-43.848277,-10.835506
349,163.594549,-42.712253,-9.061423
350,163.823426,-45.831456,-8.554042
351,163.108795,-46.04258,-10.302425
352,164.063153,-45.991238,-12.933723
353,163.616992,-48.726763,-16.532677
354,162.996631,-48.80957,-14.396979
355,163.206764,-48.687903,-18.458502
356,162.980057,-45.389027,-21.869768
357,163.060001,-42.659326,-25.546642
358,162.75153,-41.754808,-26.482391
359,162.855068,-39.091697,-27.084858
360,157.985456,-37.808014,-24.587013
361,158.530344,-39.945944,-23.795653
362,157.970525,-39.337682,-26.511026
363,157.817763,-39.324709,-21.651042
364,157.737832,-39.434098,-16.865447
365,159.99879,-41.575481,-19.354003
366,159.943826,-41.890595,-22.739677
367,159.687212,-45.049268,-19.990082
368,159.674206,-45.900315,-21.719345
369,159.802378,-44.320877,-25.272438
370,159.378946,-47.027559,-30.492012
371,157.755276,-47.491337,-29.167693
372,157.652868,-47.605297,-25.550515
373,157.47252,-47.197862,-29.078049
374,153.41677,-45.564414,-28.874686
375,153.551961,-42.365208,-33.258763
376,149.067375,-41.70035,-33.172495
377,146.256201,-42.613501,-37.010534
378,146.399753,-43.738686,-36.791418
379,146.433018,-43.792022,-38.612646
380,146.844593,-41.117796,-34.266963
381,148.258836,-40.429495,-33.826521
382,148.034996,-40.44805,-30.950618
383,146.325602,-40.022028,-35.217711
384,146.457333,-39.844781,-31.360391
385,148.539134,-36.2005,-32.83991
386,148.704541,-38.930996,-32.94418
387,148.626375,-38.725246,-36.833164
388,148.857038,-42.602362,-37.118456
389,150.697758,-40.031838,-37.11505
390,150.79924,-37.35795,-41.271608
391,153.048151,-36.832825,-43.135438
392,153.326152,-36.833731,-42.176572
393,152.99619,-39.243204,-46.222187
394,154.628386,-40.92414,-46.313271
395,154.221068,-40.796792,-51.0369
396,150.127502,-40.6568,-49.093274
397,150.06189,-43.857375,-49.450929
398,149.950165,-43.0804,-49.372266
399,150.243938,-46.028071,-49.131227
