episode,epsilon=1.0,epsilon=0.8,epsilon=0.5
175,93.845698,81.495894,57.958247
176,97.331347,79.686629,57.374253
177,99.037391,80.133314,60.543382
178,102.616859,81.18727,59.31233
179,105.178607,80.519837,56.424425
180,107.90934,81.028555,56.614678
181,108.146653,78.700462,54.048743
182,108.420929,77.143266,52.537098
183,107.246502,75.542925,52.588696
184,107.370499,74.833038,54.54653
185,107.938957,77.013907,55.099298
186,109.594661,76.44481,55.931141
187,110.213893,77.685001,56.339578
188,110.666359,80.755097,53.961661
189,114.478807,80.664806,52.720078
190,115.368338,78.764675,51.679655
191,118.76986,79.07812,49.790236
192,121.081257,81.674141,51.30367
193,125.418698,84.859841,48.087
194,126.910874,81.844338,47.482979
195,130.318334,82.34956,47.516164
196,131.607234,80.987768,49.07066
197,131.839044,81.470755,48.922883
198,133.507056,80.732063,49.210087
199,133.563511,78.740715,51.542379
200,136.124847,81.674617,49.046548
201,138.731848,84.132544,51.59005
202,137.7766,88.365519,54.056945
203,137.470303,91.450428,54.086921
204,140.355777,90.954925,56.263576
205,141.234613,91.263293,56.066357
206,141.857554,92.582007,54.316839
207,139.255804,92.71847,57.164684
208,141.952649,93.556162,57.26199
209,142.878869,94.585905,57.116893
210,141.78394,96.218254,60.13176
211,140.469498,99.06835,57.201708
212,138.914353,97.639716,57.208697
213,138.877121,97.356558,60.050489
214,141.265985,94.569699,60.095375
215,140.151286,98.480985,60.131361
216,138.883099,99.373889,58.074224
217,135.900931,99.760495,56.121259
218,135.344149,98.347605,56.101296
219,133.206727,102.289239,55.709253
220,133.245915,102.759448,55.77453
221,134.943121,103.593904,55.315571
222,133.498621,102.205641,57.647763
223,132.121846,102.017149,57.269858
224,132.534727,101.952174,59.607469
225,130.77619,101.108661,61.423481
226,131.927933,100.420713,60.710616
227,129.531453,100.523033,60.818532
228,127.893176,100.474729,62.690629
229,127.83614,103.545011,65.381939
230,127.930046,103.255023,65.188832
231,128.249131,102.860194,65.070021
232,128.204154,102.203525,64.473007
233,128.681044,103.664522,66.752841
234,127.850303,101.358169,67.811308
235,128.025758,100.861272,69.652976
236,128.68753,100.45429,72.134791
237,128.831696,97.78081,73.642324
238,128.801401,98.570078,71.613109
239,128.796727,96.504372,69.283626
240,129.260359,95.735976,69.048215
241,129.384499,94.88171,66.15912
242,129.850487,94.570629,68.040263
243,129.800079,95.013943,65.75347
244,129.540866,94.257634,68.175535
245,129.552062,93.943124,67.514895
246,129.746221,91.511188,69.404073
247,130.035002,91.330279,67.072263
248,130.393482,91.102798,69.525709
249,130.817886,91.398128,68.74076
250,131.210268,91.128423,70.302477
251,130.037037,91.341501,69.358413
252,130.812032,90.814866,67.079582
253,131.143382,90.241278,70.194994
254,131.876451,91.361828,71.608498
255,131.789264,90.801264,71.697635
256,131.64114,90.811208,74.643499
257,131.312328,89.225532,75.464428
258,131.300357,90.043803,74.463863
259,131.70697,90.223507,74.686123
260,132.686322,93.448326,73.685473
261,132.882097,93.463893,74.877505
